Emoji,Emotion1,Emotion2
☠️,sad,playful
☹️,sad,angry
☺️,happy,neutral
❣️,happy,playful
❤️,happy,playful
👁️,neutral,fear
🗨️,neutral,happy
👹,angry,fear
👺,angry,fear
👻,happy,playful
👽,happy,playful
👾,happy,playful
👿,angry,fear
💀,sad,fear
💋,happy,playful
💌,happy,playful
💓,happy,playful
💔,sad,angry
💕,happy,playful
💖,happy,playful
💗,happy,playful
💘,happy,playful
💙,happy,playful
💚,happy,playful
💛,happy,playful
💜,happy,playful
💝,happy,playful
💞,happy,playful
💟,happy,playful
💢,angry,fear
💣,angry,fear
💤,neutral,happy
💥,angry,playful
💦,happy,playful
💨,happy,playful
💩,playful,angry
💫,happy,playful
💬,neutral,happy
💭,neutral,happy
💯,happy,playful
🕳️,neutral,fear
🖤,neutral,sad
🗨️,neutral,happy
🗯️,neutral,fear
😀,happy,playful
😁,happy,playful
😂,happy,playful
😃,happy,playful
😄,happy,playful
😅,happy,playful
😆,happy,playful
😇,happy,playful
😈,angry,playful
😉,happy,playful
😊,happy,playful
😋,happy,playful
😌,happy,playful
😍,happy,playful
😎,happy,playful
😏,happy,playful
😐,angry,sad
😑,angry,sad
😒,angry,sad
😓,neutral,sad
😔,neutral,sad
😕,neutral,sad
😖,neutral,sad
😗,happy,playful
😘,happy,playful
😙,happy,playful
😚,happy,playful
😛,happy,playful
😜,happy,playful
😝,happy,playful
😞,sad,neutral
😟,sad,neutral
😠,angry,sad
😡,angry,sad
😢,sad,neutral
😣,sad,neutral
😤,angry,fear
😥,sad,neutral
😦,sad,fear
😧,sad,fear
😨,sad,fear
😩,sad,neutral
😪,sad,neutral
😫,sad,neutral
😬,angry,fear
😭,sad,neutral
😮,happy,playful
😯,happy,playful
😰,sad,fear
😱,sad,fear
😲,happy,playful
😳,neutral,fear
😴,neutral,sad
😵,neutral,sad
😶,neutral,sad
😷,neutral,fear
😸,happy,playful
😹,happy,playful
😺,happy,playful
😻,happy,playful
😼,happy,playful
😽,happy,playful
😾,angry,fear
😿,sad,neutral
🙀,sad,fear
🙁,sad,neutral
🙂,happy,playful
🙃,happy,playful
🙄,neutral,sad
🙈,playful,fear
🙉,playful,fear
🙊,playful,fear
🤍,neutral,sad
🤎,neutral,sad
🤐,neutral,sad
🤑,happy,playful
🤒,sad,fear
🤓,neutral,happy
🤔,neutral,happy
🤕,neutral,sad
🤖,neutral,fear
🤗,happy,playful
🤠,happy,playful
🤡,happy,playful
🤢,sad,playful
🤣,happy,playful
🤤,happy,playful
🤥,neutral,sad
🤧,sad,neutral
🤨,neutral,sad
🤩,happy,playful
🤪,happy,playful
🤫,neutral,sad
🤬,angry,fear
🤭,happy,playful
🤮,sad,fear
🤯,angry,fear
🥰,happy,playful
🥱,neutral,sad
🥳,happy,playful
🥴,neutral,sad
🥵,neutral,playful
🥶,neutral,sad
🥺,sad,fear
🧐,neutral,sad
🧡,happy,playful
