Emoji,State
☠️,Sad
☹️,Sad
☺️,Happy
❣️,Happy
❤️,Happy
👁️‍🗨️,Sad
👹,Sad
👺,Sad
👻,Sad
👽,Sad
👾,Sad
👿,Sad
💀,Sad
💋,Happy
💌,Happy
💓,Happy
💔,Sad
💕,Happy
💖,Happy
💗,Happy
💘,Happy
💙,Happy
💚,Happy
💛,Happy
💜,Happy
💝,Happy
💞,Happy
💟,Happy
💢,Sad
💣,Sad
💤,Sad
💥,Sad
💦,Sad
💨,Sad
💩,Sad
💫,Happy
💬,Happy
💭,Happy
💯,Happy
🕳️,Sad
🖤,Sad
🗨️,Sad
🗯️,Sad
😀,Happy
😁,Happy
😂,Happy
😃,Happy
😄,Happy
😅,Happy
😆,Happy
😇,Happy
😈,Sad
😉,Happy
😊,Happy
😋,Happy
😌,Happy
😍,Happy
😎,Happy
😏,Happy
😐,Sad
😑,Sad
😒,Sad
😓,Sad
😔,Sad
😕,Sad
😖,Sad
😗,Happy
😘,Happy
😙,Happy
😚,Happy
😛,Happy
😜,Happy
😝,Happy
😞,Sad
😟,Sad
😠,Sad
😡,Sad
😢,Sad
😣,Sad
😤,Sad
😥,Sad
😦,Sad
😧,Sad
😨,Sad
😩,Sad
😪,Sad
😫,Sad
😬,Sad
😭,Sad
😮,Sad
😯,Sad
😰,Sad
😱,Sad
😲,Sad
😳,Sad
😴,Sad
😵,Sad
😶,Sad
😷,Sad
😸,Happy
😹,Happy
😺,Happy
😻,Happy
😼,Happy
😽,Happy
😾,Sad
😿,Sad
🙀,Sad
🙁,Sad
🙂,Happy
🙃,Sad
🙄,Sad
🙈,Sad
🙉,Sad
🙊,Sad
🤍,Happy
🤎,Sad
🤐,Sad
🤑,Happy
🤒,Sad
🤓,Happy
🤔,Sad
🤕,Sad
🤖,Sad
🤗,Happy
🤠,Happy
🤡,Happy
🤢,Sad
🤣,Happy
🤤,Sad
🤥,Sad
🤧,Sad
🤨,Sad
🤩,Happy
🤪,Happy
🤫,Sad
🤬,Sad
